,id,fips,statecode,state,state_notes,county,jail,jail_notes,d2008,d2009,d2010,d2011,d2012,d2013,d2014,d2015,d2016,d2017,d2018,d2019,su2008,su2009,su2010,su2011,su2012,su2013,su2014,su2015,su2016,su2017,su2018,su2019,da2008,da2009,da2010,da2011,da2012,da2013,da2014,da2015,da2016,da2017,da2018,da2019,il2008,il2009,il2010,il2011,il2012,il2013,il2014,il2015,il2016,il2017,il2018,il2019,o2008,o2009,o2010,o2011,o2012,o2013,o2014,o2015,o2016,o2017,o2018,o2019,ho2008,ho2009,ho2010,ho2011,ho2012,ho2013,ho2014,ho2015,ho2016,ho2017,ho2018,ho2019,ac2008,ac2009,ac2010,ac2011,ac2012,ac2013,ac2014,ac2015,ac2016,ac2017,ac2018,ac2019,adp2008,adp2009,adp2010,adp2011,adp2012,adp2013,adp2014,adp2015,adp2016,adp2017,adp2018,adp2019,med2008,med2009,med2010,med2011,med2012,med2013,med2014,med2015,med2016,med2017,med2018,med2019,male_deaths,female_deaths,male_percent,female_percent
10,10,1103.0,AL,Alabama,,Morgan,Morgan County Corr. Facility,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,483.0,495.0,453.0,485.0,517.0,510.0,545.0,547.0,563.0,575.0,618.0,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners/Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,2,1,0.6666666666666666,0.3333333333333333
11,11,1117.0,AL,Alabama,,Shelby,Shelby County Jail,,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,466.0,516.0,372.0,410.0,404.0,373.0,435.0,435.0,444.0,491.0,498.0,456.0,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC/Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care/Southern Health Partners,6,0,1.0,0.0
12,12,1125.0,AL,Alabama,,Tuscaloosa,Tuscaloosa County Jail,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,642.0,620.0,621.0,644.0,643.0,623.0,584.0,527.0,516.0,589.0,584.0,"Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)",1,0,1.0,0.0
13,14,4003.0,AZ,Arizona,,Cochise,Cochise County Jail,,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,307.0,275.0,284.0,280.0,256.0,220.0,251.0,246.0,242.0,247.0,255.74,public,public,public,public,public,public,public,public,public,public,public,,8,0,1.0,0.0
14,15,4005.0,AZ,Arizona,,Coconino,Coconino County Jail,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,507.0,501.0,513.0,509.0,493.0,468.0,473.0,467.0,457.0,421.0,499.8,public,public,public,public,public,public,public,public,public,public,public,public,6,0,1.0,0.0
15,16,4007.0,AZ,Arizona,,Gila,Gila County Jails,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,182.0,158.0,148.0,142.0,144.0,162.0,151.0,145.0,145.0,154.0,148.0,,public,public,public,public,public,public,public,public,public,public,public,,2,0,1.0,0.0
16,17,4013.0,AZ,Arizona,,Maricopa,Maricopa County Jail System,Cause of death information for 2018 was initially excluded from this document. ,7.0,4.0,5.0,3.0,5.0,9.0,9.0,11.0,10.0,11.0,8.0,5.0,1.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,2.0,1.0,4.0,4.0,3.0,8.0,5.0,8.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,,9244.0,8624.0,7569.0,7354.0,7831.0,8096.0,7996.0,7908.0,7408.0,7709.0,7454.0,,public,public,public,public,public,public,public,public,public,public,public,,5,3,0.625,0.375
17,18,4015.0,AZ,Arizona,,Mohave,Mohave County Adult Detention Facility,ADP for 2018 averaged from 2016 and 2017,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,429.0,335.0,438.0,494.0,535.0,519.0,452.0,454.0,510.0,482.0,562.0,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health/Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,10,2,0.8333333333333334,0.16666666666666666
18,19,4017.0,AZ,Arizona,,Navajo,Navajo County Detention Center,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.98,367.3,341.58,314.53,296.97,296.01,234.93,294.18,281.08,285.45,292.28,290.56,public,public,public,public,public,public,public,public,public,public,public,public,2,0,1.0,0.0
19,20,4019.0,AZ,Arizona,,Pima,Pima County Adult Detention Complex,,1.0,2.0,0.0,0.0,0.0,3.0,2.0,7.0,5.0,5.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,,4.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,0.0,0.0,0.0,,,1.0,,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,1.0,1913.0,1826.0,1636.0,1687.0,1926.0,2037.0,1997.0,1838.0,1850.0,1866.0,1844.0,1869.0,Corizon Health/Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath/Centurian,,33,4,0.8918918918918919,0.10810810810810811
20,21,4021.0,AZ,Arizona,,Pinal,Pinal County Jail,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.0,1260.0,1163.0,1176.0,1057.0,1102.0,904.0,853.0,932.0,500.0,496.0,515.0,public,public,public,public,public,public,public,public,public,public/Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,13,1,0.9285714285714286,0.07142857142857142
21,22,4023.0,AZ,Arizona,,Santa Cruz,Santa Cruz County Adult Detention Center,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,106.0,84.0,154.0,216.0,160.0,120.0,166.0,115.0,112.0,178.47,130.0,public,public,public,public,public,public,public,public,public,public,public,public,1,0,1.0,0.0
22,23,4025.0,AZ,Arizona,,Yavapai,Yavapai County Camp Verde Facility,,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,448.0,441.0,439.0,462.0,478.0,480.0,492.0,541.0,562.0,512.0,514.0,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,15,3,0.8333333333333334,0.16666666666666666
23,24,4027.0,AZ,Arizona,,Yuma,Yuma County Detention Center,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,595.0,605.0,612.0,568.0,568.0,582.0,568.0,546.0,537.0,472.0,432.28,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,6,0,1.0,0.0
