id,fips,statecode,state,state_notes,county,jail,jail_notes,d2008,d2009,d2010,d2011,d2012,d2013,d2014,d2015,d2016,d2017,d2018,d2019,su2008,su2009,su2010,su2011,su2012,su2013,su2014,su2015,su2016,su2017,su2018,su2019,da2008,da2009,da2010,da2011,da2012,da2013,da2014,da2015,da2016,da2017,da2018,da2019,il2008,il2009,il2010,il2011,il2012,il2013,il2014,il2015,il2016,il2017,il2018,il2019,o2008,o2009,o2010,o2011,o2012,o2013,o2014,o2015,o2016,o2017,o2018,o2019,ho2008,ho2009,ho2010,ho2011,ho2012,ho2013,ho2014,ho2015,ho2016,ho2017,ho2018,ho2019,ac2008,ac2009,ac2010,ac2011,ac2012,ac2013,ac2014,ac2015,ac2016,ac2017,ac2018,ac2019,adp2008,adp2009,adp2010,adp2011,adp2012,adp2013,adp2014,adp2015,adp2016,adp2017,adp2018,adp2019,med2008,med2009,med2010,med2011,med2012,med2013,med2014,med2015,med2016,med2017,med2018,med2019
10,1103,AL,Alabama,,Morgan,Morgan County Corr. Facility,,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,483,495,453,485,517,510,545,547,563,575,618,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners/Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care
11,1117,AL,Alabama,,Shelby,Shelby County Jail,,3,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,466,516,372,410,404,373,435,435,444,491,498,456,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC,Prison Healthcare LLC/Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care/Southern Health Partners
12,1125,AL,Alabama,,Tuscaloosa,Tuscaloosa County Jail,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,642,620,621,644,643,623,584,527,516,589,584,"Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)","Whatley Health Services (Tuscaloosa, AL)"
14,4003,AZ,Arizona,,Cochise,Cochise County Jail,,0,0,3,0,0,1,0,1,1,1,1,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,307,275,284,280,256,220,251,246,242,247,255.74,public,public,public,public,public,public,public,public,public,public,public,
15,4005,AZ,Arizona,,Coconino,Coconino County Jail,,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,507,501,513,509,493,468,473,467,457,421,499.8,public,public,public,public,public,public,public,public,public,public,public,public
16,4007,AZ,Arizona,,Gila,Gila County Jails,,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,182,158,148,142,144,162,151,145,145,154,148,,public,public,public,public,public,public,public,public,public,public,public,
17,4013,AZ,Arizona,,Maricopa,Maricopa County Jail System,Cause of death information for 2018 was initially excluded from this document. ,7,4,5,3,5,9,9,11,10,11,8,5,1,2,2,2,0,3,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,3,2,2,1,4,4,3,8,5,8,8,3,2,0,0,0,0,0,0,0,1,1,8,,1,0,1,0,0,0,4,1,0,0,0,,0,0,0,0,1,2,0,0,1,0,0,,9244,8624,7569,7354,7831,8096,7996,7908,7408,7709,7454,,public,public,public,public,public,public,public,public,public,public,public,
18,4015,AZ,Arizona,,Mohave,Mohave County Adult Detention Facility,ADP for 2018 averaged from 2016 and 2017,0,1,1,0,0,1,1,0,1,3,2,2,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,429,335,438,494,535,519,452,454,510,482,562,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health/Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath
19,4017,AZ,Arizona,,Navajo,Navajo County Detention Center,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.98,367.3,341.58,314.53,296.97,296.01,234.93,294.18,281.08,285.45,292.28,290.56,public,public,public,public,public,public,public,public,public,public,public,public
20,4019,AZ,Arizona,,Pima,Pima County Adult Detention Complex,,1,2,0,0,0,3,2,7,5,5,8,4,0,1,0,0,0,1,,4,1,3,2,1,0,0,0,0,0,1,1,2,,,1,,1,1,0,0,0,,,1,,,4,1,0,0,0,0,0,,,0,,,,,0,0,0,0,0,,,0,,1,,,0,0,0,0,0,,,0,,,,1,1913,1826,1636,1687,1926,2037,1997,1838,1850,1866,1844,1869,Corizon Health/Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath/Centurian,
21,4021,AZ,Arizona,,Pinal,Pinal County Jail,,3,1,0,1,0,0,0,4,2,1,2,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,1260,1163,1176,1057,1102,904,853,932,500,496,515,public,public,public,public,public,public,public,public,public,public/Wexford Health Sources,Wexford Health Sources,Wexford Health Sources
22,4023,AZ,Arizona,,Santa Cruz,Santa Cruz County Adult Detention Center,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,106,84,154,216,160,120,166,115,112,178.47,130,public,public,public,public,public,public,public,public,public,public,public,public
23,4025,AZ,Arizona,,Yavapai,Yavapai County Camp Verde Facility,,0,1,3,0,1,0,0,1,3,4,3,2,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,448,441,439,462,478,480,492,541,562,512,514,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources,Wexford Health Sources
24,4027,AZ,Arizona,,Yuma,Yuma County Detention Center,,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,595,605,612,568,568,582,568,546,537,472,432.28,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath,Wellpath
25,5007,AR,Arkansas,,Benton,Benton County Detention Facility,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,495,527,466,450,549,605,569,514,591,617,677,public,public,public,public,public,public,public/Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners/Turn-Key Health,Turn-Key Health
26,5031,AR,Arkansas,,Craighead,Craighead County Detention Center,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.11,412.98,404.58,424.71,386.14,333.48,365.09,335.32,313.69,287.46,307.47,331,public,public,public/Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare/Turn-Key Health,Turn-Key Health,Turn-Key Health
27,5035,AR,Arkansas,,Crittenden,Crittenden County Detention Center,,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,275,312,221,243,298,306,231,182,201,193,221,public,public,public,public,public,public,public,public,public,public,public,public
28,5045,AR,Arkansas,,Faulkner,Faulkner County Detention Center Unit 1&2,,0,0,1,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,338,383,262,249,305,357,366,385,383,414,392,public,public,public,public,public,public,public,public,public,public,public,public
32,5069,AR,Arkansas,,Jefferson,W.C. Brassell Adult Detention Center (Jefferson County),,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,250,235,220,282,335,310,310,310,285,285,283,public,public,public,public,public,public,public,public,public,public,public,public
29,5091,AR,Arkansas,,Miller,Miller County Jail,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,260,257,222,189,230,279,263,272,277,281,296,public,public,public,public,public,public,public,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners
30,5119,AR,Arkansas,,Pulaski,Pulaski County Regional Detention Facility,,2,1,2,2,3,3,3,4,2,1,0,0,1,0,2,1,1,2,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,941,979,1030,1038,1118,1176,1211,1159,1089,1100,1135,1177,public,public,public,public,public,public,public,public/Turn-Key Health,Turn-Key Health,Turn-Key Health,Turn-Key Health,Turn-Key Health
31,5131,AR,Arkansas,,Sebastian,Sebastian County Adult Detention Center,,0,2,1,1,2,2,4,0,0,0,3,2,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,350,394,420,313,321,340,385,421,518,522,420,371.42,public,public,public,public,public,public,public,public,public,public,public,public/Turn-Key Health
33,5143,AR,Arkansas,,Washington,Washington County Detention Center,,0,0,0,1,1,0,2,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,546,495,573,459,462,526,593,646,604,659,678,693,public,public,public,public,public,public,public,Southern Health Partners,Karas Correctional Health ,Karas Correctional Health ,Karas Correctional Health ,Karas Correctional Health 
34,5145,AR,Arkansas,,White,White County Detention Center,"ADP for 2018 is based on data from the Arkansas Criminal Detention Facilities Review Committee, which does annual inspections of all the state's jails; ADP for 2008 is estimated based on averages from precedeing and subsequent years because the jail was unable to provide population data for 2008.",,0,0,0,0,1,1,2,1,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,1,1,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,188,179,197,192,246,263,290,292,278,288,245,278,,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Turn-Key Health,Turn-Key Health,Turn-Key Health
36,6001,CA,California,"In 2011, a California law known as “realignment” shifted the incarceration of “non-serious, non-violent, non-sex” convicts from state prisons to county jails. As a result, jail inmates in California may have longer average stays than jail inmates in other states. Sheriffs often complain the change puts substantial staffing and budget pressures on jails without adequate funding.",Alameda,Alameda County Glenn E. Dyer Detention Facility,The Glenn E. Dyer Detention Facility closed in June 2019; ADP for that year is based on the months it was open.,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,798,801,585,438,826,434,391,381,404,421,375,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health/Wellpath,Wellpath,Wellpath,Wellpath
35,6001,CA,California,"In 2011, a California law known as “realignment” shifted the incarceration of “non-serious, non-violent, non-sex” convicts from state prisons to county jails. As a result, jail inmates in California may have longer average stays than jail inmates in other states. Sheriffs often complain the change puts substantial staffing and budget pressures on jails without adequate funding.",Alameda,Alameda County Santa Rita Jail,,13,3,8,1,5,7,8,7,6,6,4,10,1,0,2,0,1,1,3,4,2,2,1,2,4,0,1,0,1,0,1,0,0,1,,,7,2,4,1,2,6,4,3,3,1,2,3,0,1,1,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,1,1,,2,0,0,0,0,1,0,0,0,0,,,,3833,3597,3320,3182,2867,2984,2797,2255,2118,2129,2144,2365,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health/Wellpath,Wellpath,Wellpath,Wellpath
504,6013,CA,California,"In 2011, a California law known as “realignment” shifted the incarceration of “non-serious, non-violent, non-sex” convicts from state prisons to county jails. As a result, jail inmates in California may have longer average stays than jail inmates in other states. Sheriffs often complain the change puts substantial staffing and budget pressures on jails without adequate funding.",Contra Costa,Contra Costa Martinez Detention Facility,,1,3,0,0,2,2,2,3,2,0,5,3,0,0,0,0,0,1,1,3,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,697,653,629,643,634,651,666,662,662,638,493,public,public,public,public,public,public,public,public,public,public,public,public
37,6013,CA,California,"In 2011, a California law known as “realignment” shifted the incarceration of “non-serious, non-violent, non-sex” convicts from state prisons to county jails. As a result, jail inmates in California may have longer average stays than jail inmates in other states. Sheriffs often complain the change puts substantial staffing and budget pressures on jails without adequate funding.",Contra Costa,Contra Costa West County Detention Facility,,1,2,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,797,784,807,862,796,660,823,709,783,677,630,public,public,public,public,public,public,public,public,public,public,public,public
39,6019,CA,California,"In 2011, a California law known as “realignment” shifted the incarceration of “non-serious, non-violent, non-sex” convicts from state prisons to county jails. As a result, jail inmates in California may have longer average stays than jail inmates in other states. Sheriffs often complain the change puts substantial staffing and budget pressures on jails without adequate funding.",Fresno,Fresno County Jail (inc. both North and South annexes and satellite building),,3,6,3,5,8,7,8,3,5,5,11,4,0,1,1,2,2,2,2,0,3,,2,1,0,0,0,0,3,0,1,0,2,,,1,2,5,2,3,2,4,4,2,0,3,1,2,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,1,1,1,0,0,,,0,0,0,0,0,0,0,0,1,0,,,0,2893,2736,1780,1810,2393,2878,2713,2537,2701,2794,2927,2940,public,public,public,public,public,public,public/Corizon Health,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health/Wellpath,Wellpath
